TIME           	H+_SNOW        	Cl-_SNOW       	DOC_SNOW       	H+_SURFACE     	Cl-_SURFACE    	DOC_SURFACE    	X-_SURFACE     	SOC_SURFACE    	OH-_SURFACE    	XDOC_SURFACE   	H+_UZ          	Cl-_UZ         	DOC_UZ         	X-_UZ          	SOC_UZ         	OH-_UZ         	XDOC_UZ        	H+_LZ          	Cl-_LZ         	DOC_LZ         	X-_LZ          	SOC_LZ         	OH-_LZ         	XDOC_LZ        	H+_riv         	Cl-_riv        	DOC_riv        	X-_riv         	SOC_riv        	OH-_riv        	XDOC_riv       	SOC_rate_SF            	SOC_rate_UZ            	SOC_rate_LZ            
YYYYMMDD       	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/m2/day             	mol/m2/day             	mol/m2/day             
20160101       	2.75423e-05    	3.69e-05       	2e-05          	5.04386e-05    	1e-05          	0.01           	0.00130437     	2.39998e-06    	2.03092e-10    	2.06303e-05    	2.77241e-05    	3.69e-05       	1.80342e-05    	0.068898       	0.00479996     	3.69647e-10    	1.96927e-06    	2.77159e-05    	3.6889e-05     	1.65685e-05    	0.130907       	0.000479996    	3.69756e-10    	3.43753e-06    	2.77159e-05    	3.6889e-05     	1.65586e-05    	9.99974e-21    	1e-20          	3.69756e-10    	2.6243e-25     	0                      	-7.49339e-07           	-9.87687e-06           
20160102       	1e-20          	1e-20          	1e-20          	6.61009e-05    	5.89989e-05    	0.00516337     	0.00131427     	2.39998e-06    	1.55828e-10    	1.07329e-05    	2.76495e-05    	3.66718e-05    	3.83651e-05    	0.0688958      	0.00479996     	3.70633e-10    	4.1892e-06     	2.77226e-05    	3.68979e-05    	1.66003e-05    	0.130907       	0.000479995    	3.69666e-10    	3.44413e-06    	4.77975e-05    	6.36175e-05    	2.85832e-05    	9.99955e-21    	1e-20          	2.15283e-10    	4.52995e-25    	0                      	-8.17681e-07           	-1.05935e-05           
20160103       	1e-20          	1e-20          	1e-20          	6.61009e-05    	5.89989e-05    	0.00516337     	0.00131427     	2.39998e-06    	1.55828e-10    	1.07329e-05    	2.77795e-05    	3.68442e-05    	3.85486e-05    	0.0688958      	0.00479996     	3.6891e-10     	4.20923e-06    	2.77157e-05    	3.68887e-05    	1.6606e-05     	0.130907       	0.000479995    	3.69758e-10    	3.4453e-06     	7.95776e-05    	0.000105916    	4.76102e-05    	9.99925e-21    	1e-20          	1.29946e-10    	7.54521e-25    	0                      	-7.23813e-07           	-9.49819e-06           
20160104       	1e-20          	1e-20          	1e-20          	6.61009e-05    	5.89989e-05    	0.00516337     	0.00131427     	2.39998e-06    	1.55828e-10    	1.07329e-05    	2.77925e-05    	3.68615e-05    	3.8569e-05     	0.0688958      	0.00479996     	3.68738e-10    	4.21146e-06    	2.77157e-05    	3.68886e-05    	1.66135e-05    	0.130907       	0.000479994    	3.69759e-10    	3.44686e-06    	0.000127114    	0.000169187    	7.60752e-05    	9.99879e-21    	1e-20          	8.18164e-11    	1.20558e-24    	0                      	-5.47942e-07           	-7.22807e-06           
20160105       	1e-20          	1e-20          	1e-20          	6.61009e-05    	5.89989e-05    	0.00516337     	0.00131427     	2.39998e-06    	1.55828e-10    	1.07329e-05    	2.79107e-05    	3.70182e-05    	3.87363e-05    	0.0688958      	0.00479996     	3.67187e-10    	4.22972e-06    	2.77157e-05    	3.68887e-05    	1.66237e-05    	0.130907       	0.000479994    	3.69758e-10    	3.44898e-06    	0.0001869      	0.000248761    	0.000111882    	9.99823e-21    	1e-20          	5.59664e-11    	1.77293e-24    	0                      	-7.72561e-07           	-1.03275e-05           
20160106       	1e-20          	1e-20          	1e-20          	8.79699e-05    	4.75896e-05    	0.00369976     	0.00131729     	2.39998e-06    	1.17177e-10    	7.70818e-06    	2.79933e-05    	3.70491e-05    	4.49141e-05    	0.0688951      	0.00479996     	3.66108e-10    	4.90425e-06    	2.77162e-05    	3.68892e-05    	1.66408e-05    	0.130907       	0.000479993    	3.69752e-10    	3.45252e-06    	0.000219905    	0.00029269     	0.000131677    	9.99791e-21    	1e-20          	4.76979e-11    	2.08655e-24    	0                      	-9.45611e-07           	-1.26314e-05           
20160107       	1e-20          	1e-20          	1e-20          	0.000495535    	8.36694e-05    	0.00153363     	0.00132179     	2.39998e-06    	2.1214e-11     	3.20617e-06    	2.83395e-05    	3.60727e-05    	5.24034e-05    	0.0688943      	0.00479996     	3.61612e-10    	5.72194e-06    	2.77433e-05    	3.69187e-05    	1.67803e-05    	0.130907       	0.000479992    	3.69392e-10    	3.48147e-06    	8.99859e-05    	0.000119763    	5.40352e-05    	9.99914e-21    	1e-20          	1.15074e-10    	8.56335e-25    	0                      	-1.1552e-06            	-1.43357e-05           
20160108       	1e-20          	1e-20          	1e-20          	0.000495535    	8.36694e-05    	0.00153363     	0.00132179     	2.39998e-06    	2.1214e-11     	3.20617e-06    	2.83395e-05    	3.60727e-05    	5.24072e-05    	0.0688943      	0.00479996     	3.61612e-10    	5.72236e-06    	2.7718e-05     	3.6885e-05     	1.67779e-05    	0.130907       	0.000479992    	3.69727e-10    	3.48097e-06    	0.000115937    	0.000154297    	6.97393e-05    	9.99889e-21    	1e-20          	8.95943e-11    	1.10519e-24    	0                      	-9.19008e-07           	-1.1394e-05            
20160109       	1e-20          	1e-20          	1e-20          	0.000495535    	8.36694e-05    	0.00153363     	0.00132179     	2.39998e-06    	2.1214e-11     	3.20617e-06    	2.84186e-05    	3.61734e-05    	5.25557e-05    	0.0688943      	0.00479996     	3.60612e-10    	5.73858e-06    	2.77181e-05    	3.6885e-05     	1.6786e-05     	0.130907       	0.000479992    	3.69726e-10    	3.48265e-06    	0.000172686    	0.000229819    	0.000103981    	9.99835e-21    	1e-20          	6.04961e-11    	1.64774e-24    	0                      	-5.28016e-07           	-6.65211e-06           
