TIME           	H+_SNOW        	Cl-_SNOW       	DOC_SNOW       	H+_SURFACE     	Cl-_SURFACE    	DOC_SURFACE    	X-_SURFACE     	SOC_SURFACE    	OH-_SURFACE    	XDOC_SURFACE   	H+_UZ          	Cl-_UZ         	DOC_UZ         	X-_UZ          	SOC_UZ         	OH-_UZ         	XDOC_UZ        	H+_LZ          	Cl-_LZ         	DOC_LZ         	X-_LZ          	SOC_LZ         	OH-_LZ         	XDOC_LZ        	H+_riv         	Cl-_riv        	DOC_riv        	X-_riv         	SOC_riv        	OH-_riv        	XDOC_riv       	SOC_rate_SF            	SOC_rate_UZ            	SOC_rate_LZ            
YYYYMMDD       	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/m2/day             	mol/m2/day             	mol/m2/day             
20160101       	0              	0              	0              	3.93202e-05    	0.000850898    	4.57202e-07    	0.001325       	2.39993e-06    	2.69733e-10    	9.58145e-10    	0.000126131    	0.000507708    	1.77468e-05    	0.0688981      	0.00479945     	8.34876e-11    	1.93794e-06    	4.93651e-05    	0.000107759    	4.30717e-05    	0.130901       	0.000478647    	2.09111e-10    	8.93591e-06    	0.0704371      	0.159442       	0.0353116      	9.46454e-21    	1e-20          	2.28529e-13    	5.35462e-22    	0                      	-7.4925e-07            	-9.83374e-06           
20160102       	1e-20          	1e-20          	1e-20          	2.01877e-05    	0.000436866    	2.34735e-07    	0.001325       	2.39993e-06    	5.18541e-10    	4.91918e-10    	0.000125045    	0.000504907    	1.7594e-05     	0.0688981      	0.00479945     	8.42025e-11    	1.92125e-06    	4.94612e-05    	0.000108225    	4.30634e-05    	0.130901       	0.000478647    	2.08713e-10    	8.93419e-06    	0.0510688      	0.115596       	0.0256201      	9.60683e-21    	1e-20          	3.02233e-13    	3.93167e-22    	0                      	-8.17585e-07           	-1.05472e-05           
20160103       	1e-20          	1e-20          	1e-20          	2.01877e-05    	0.000436866    	2.34735e-07    	0.001325       	2.39993e-06    	5.18541e-10    	4.91918e-10    	0.000125633    	0.000507281    	1.76797e-05    	0.0688981      	0.00479945     	8.38162e-11    	1.93062e-06    	4.94488e-05    	0.000108198    	4.30642e-05    	0.130901       	0.000478646    	2.08764e-10    	8.93434e-06    	0.0554613      	0.125535       	0.027842       	9.57391e-21    	1e-20          	2.81293e-13    	4.26088e-22    	0                      	-7.23728e-07           	-9.45671e-06           
20160104       	1e-20          	1e-20          	1e-20          	2.01877e-05    	0.000436866    	2.34735e-07    	0.001325       	2.39993e-06    	5.18541e-10    	4.91918e-10    	0.000125692    	0.00050752     	1.76904e-05    	0.0688981      	0.00479945     	8.37775e-11    	1.93178e-06    	4.94488e-05    	0.000108198    	4.3073e-05     	0.130901       	0.000478646    	2.08765e-10    	8.93617e-06    	0.0693253      	0.156912       	0.03482        	9.47168e-21    	1e-20          	2.31707e-13    	5.28317e-22    	0                      	-5.47877e-07           	-7.1965e-06            
20160105       	1e-20          	1e-20          	1e-20          	2.01877e-05    	0.000436866    	2.34735e-07    	0.001325       	2.39993e-06    	5.18541e-10    	4.91918e-10    	0.000126226    	0.000509677    	1.77689e-05    	0.0688981      	0.00479945     	8.34298e-11    	1.94035e-06    	4.94489e-05    	0.000108199    	4.30843e-05    	0.130901       	0.000478645    	2.08764e-10    	8.93852e-06    	0.0868651      	0.196608       	0.043648       	9.34484e-21    	1e-20          	1.90474e-13    	6.5516e-22     	0                      	-7.72469e-07           	-1.02824e-05           
20160106       	1e-20          	1e-20          	1e-20          	5.50717e-05    	0.000318343    	2.10716e-07    	0.001325       	2.39993e-06    	1.89475e-10    	4.4158e-10     	0.000126108    	0.000509545    	1.77497e-05    	0.0688981      	0.00479945     	8.35071e-11    	1.93826e-06    	4.94665e-05    	0.000108289    	4.30919e-05    	0.130901       	0.000478645    	2.08691e-10    	8.9401e-06     	0.089373       	0.202281       	0.0449264      	9.3267e-21     	1e-20          	1.85818e-13    	6.733e-22      	0                      	-9.45499e-07           	-1.25762e-05           
20160107       	1e-20          	1e-20          	1e-20          	0.000481902    	0.000195866    	5.79232e-07    	0.001325       	2.39993e-06    	2.18807e-11    	1.21387e-09    	0.000123055    	0.00049334     	1.71859e-05    	0.0688981      	0.00479945     	8.55287e-11    	1.87669e-06    	4.98118e-05    	0.000109962    	4.30312e-05    	0.130901       	0.000478644    	2.07271e-10    	8.92749e-06    	0.0253463      	0.0573643      	0.0127592      	9.80103e-21    	1e-20          	5.58208e-13    	1.98971e-22    	0                      	-1.15507e-06           	-1.42731e-05           
20160108       	1e-20          	1e-20          	1e-20          	0.000481902    	0.000195866    	5.79232e-07    	0.001325       	2.39993e-06    	2.18807e-11    	1.21387e-09    	0.000123055    	0.00049334     	1.71897e-05    	0.0688981      	0.00479945     	8.55287e-11    	1.87711e-06    	4.97664e-05    	0.000109862    	4.30086e-05    	0.130901       	0.000478644    	2.07458e-10    	8.92281e-06    	0.0248984      	0.0563479      	0.0125516      	9.80422e-21    	1e-20          	5.6706e-13     	1.95785e-22    	0                      	-9.18899e-07           	-1.13442e-05           
20160109       	1e-20          	1e-20          	1e-20          	0.000481902    	0.000195866    	5.79232e-07    	0.001325       	2.39993e-06    	2.18807e-11    	1.21387e-09    	0.000123398    	0.000494718    	1.72399e-05    	0.0688981      	0.00479945     	8.52951e-11    	1.88259e-06    	4.97664e-05    	0.000109862    	4.30197e-05    	0.130901       	0.000478643    	2.07458e-10    	8.92512e-06    	0.031183       	0.0705678      	0.0157377      	9.7555e-21     	1e-20          	4.6512e-13     	2.44499e-22    	0                      	-5.27953e-07           	-6.62306e-06           
